0047MAC:6001944A83ED,,0147MAC:6001944A817F,,0247MAC:6001944A844F,,0347MAC:5CCF7FB2548A,,0447MAC:A020A60526A2,,0547MAC:5CCF7FB256DB,,0647MAC:5CCF7FB27D99,,0747MAC:5CCF7FB2562E,,0847MAC:5CCF7FBBBD6B,,0947MAC:5CCF7FBBBCC9,,
0048MAC:5CCF7FD71716,,0148MAC:6001944A808C,,0248MAC:6001944A84F8,,0348MAC:5CCF7FB27DF3,,0448MAC:5CCF7FADEF57,,0548MAC:5CCF7FB27D40,,0648MAC:5CCF7FB27E0D,,0748MAC:5CCF7FB25661,,0848MAC:5CCF7FBB5CA9,,0948MAC:5CCF7FBBB93B,,
0049MAC:6001944A832B,,0149MAC:6001944A80CC,,0249MAC:6001944A833C,,0349MAC:5CCF7FB25493,,0449MAC:5CCF7FADF110,,0549MAC:5CCF7FB27D3B,,0649MAC:5CCF7FB27E0C,,0749MAC:5CCF7FB25666,,0849MAC:5CCF7FBBB8DF,,0949MAC:5CCF7FBBBCE4,,
0050MAC:6001944A83CC,,0150MAC:6001944A8162,,0250MAC:6001944A84EF,,0350MAC:5CCF7FB25494,,0450MAC:5CCF7FADEFD2,,0550MAC:5CCF7FB27E11,,0650MAC:5CCF7FB27E0A,,0750MAC:5CCF7FB255AE,,0850MAC:5CCF7FBBBCE2,,0950MAC:5CCF7FBBB8FD,,
0051MAC:6001944A83EB,,0151MAC:6001944A80FA,,0251MAC:6001944A830D,,0351MAC:5CCF7FADF082,,0451MAC:5CCF7FADEF8E,,0551MAC:5CCF7FB27D52,,0651MAC:5CCF7FB27D8F,,0751MAC:5CCF7FB255A1,,0851MAC:5CCF7FBBB827,,0951MAC:5CCF7FBBBDC3,,
0052MAC:6001944A80B6,,0152MAC:6001944A8263,,0252MAC:6001944A83EF,,0352MAC:5CCF7FB2549D,,0452MAC:A020A6052664,,0552MAC:5CCF7FB27D24,,0652MAC:5CCF7FB27D9C,,0752MAC:5CCF7FB255AA,,0852MAC:5CCF7FBBB818,,0952MAC:5CCF7FBBBCF0,,
0053MAC:6001944A84F7,,0153MAC:6001944A816A,,0253MAC:6001944A8459,,0353MAC:5CCF7FB254A2,,0453MAC:5CCF7FADEFFE,,0553MAC:5CCF7FB27D4D,,0653MAC:5CCF7FB27E09,,0753MAC:5CCF7FB25688,,0853MAC:5CCF7FBBB8AC,,0953MAC:5CCF7FBBBC9E,,
0054MAC:6001944A824E,,0154MAC:6001944A8267,,0254MAC:6001944A8338,,0354MAC:5CCF7FB25490,,0454MAC:A020A60526C8,,0554MAC:5CCF7FB27D39,,0654MAC:5CCF7FB27D96,,0754MAC:5CCF7FB255B1,,0854MAC:5CCF7FBBB8B9,,0954MAC:5CCF7FBBB83B,,
0055MAC:6001944A8351,,0155MAC:6001944A8091,,0255MAC:6001944A846F,,0355MAC:5CCF7FB2548B,,0455MAC:5CCF7FADEFAB,,0555MAC:5CCF7FB27D4E,,0655MAC:5CCF7FB27E16,,0755MAC:5CCF7FFED26E,,0855MAC:5CCF7FBBB941,,0955MAC:5CCF7FBBB830,,
0056MAC:6001944A8328,,0156MAC:6001944A820B,,0256MAC:6001944A80B1,,0356MAC:5CCF7FB2549F,,0456MAC:5CCF7FADF102,,0556MAC:5CCF7FB2569E,,0656MAC:5CCF7FB27D92,,0756MAC:5CCF7FB27E52,,0856MAC:5CCF7FBBBDB5,,0956MAC:5CCF7FBBB8C3,,
0057MAC:6001944A83DB,,0157MAC:6001944A8170,,0257MAC:6001944A8507,,0357MAC:5CCF7FB254A0,,0457MAC:5CCF7FADF0FC,,0557MAC:5CCF7FB25714,,0657MAC:5CCF7FB27D94,,0757MAC:5CCF7FFED26F,,0857MAC:5CCF7FBBB83C,,0957MAC:5CCF7FBBCA84,,
0058MAC:6001944A80AE,,0158MAC:6001944A81F8,,0258MAC:6001944A8473,,0358MAC:5CCF7FB25492,,0458MAC:5CCF7FADF037,,0558MAC:5CCF7FB27D4B,,0658MAC:5CCF7FB27D97,,0758MAC:5CCF7FB254AF,,0858MAC:5CCF7FBBB9DC,,0958MAC:5CCF7FBBCA9A,,
0059MAC:6001944A84F2,,0159MAC:6001944A8380,,0259MAC:6001944A8504,,0359MAC:5CCF7FB25483,,0459MAC:5CCF7FADF02B,,0559MAC:5CCF7FB25712,,0659MAC:5CCF7FB27D8B,,0759MAC:5CCF7FB27D30,,0859MAC:5CCF7FBBB964,,0959MAC:5CCF7FBB659A,,
0060MAC:6001944A8461,,0160MAC:6001944A825D,,0260MAC:6001944A82F6,,0360MAC:5CCF7FB2555B,,0460MAC:5CCF7FADEF44,,0560MAC:5CCF7FB256A2,,0660MAC:5CCF7FB27D88,,0760MAC:5CCF7FB25632,,0860MAC:5CCF7FBBBDDF,,0960MAC:5CCF7FBBB89B,,
0061MAC:6001944A833D,,0161MAC:6001944A8152,,0261MAC:6001944A84A7,,0361MAC:5CCF7FB254EB,,0461MAC:5CCF7FADF129,,0561MAC:5CCF7FB256C6,,0661MAC:5CCF7FB27D93,,0761MAC:5CCF7FB2564C,,0861MAC:5CCF7FBBB848,,0961MAC:5CCF7FBBB8C0,,
